Name,Al2O3,CaO,FeO,K2O,MgO,MnO,Na2O,SiO2,TiO2,P2O5,C
hand sample3 calcite,0.0007,0.5503,0.0007,0.0001,0.0003,0.00046,0.0002,0.0022,0.00002,0.0001,0.434
hand sample4 fluorite,0.0006,0.7189,0.0004,0.0001,0.0003,0.00003,0.0002,0.0029,0.00002,0.0002,0
hand sample6 potash feldspar,0.1817,0.0017,0.0045,0.139,0.0002,0.00006,0.0159,0.6347,0.00002,0.0042,0
hand sample10 galena,0.0005,0.001,0.0004,0.0001,0.0004,0.00001,0.0002,0.0017,0.00001,0.0002,0
hand sample15 hematite,0.0192,0.0541,0.6218,0.0036,0.0082,0.00025,0.0015,0.1401,0.00101,0.0408,0
hand sample16 chromite,0.106,0.0025,0.2846,0.0001,0.1262,0.00155,0.0002,0.0592,0.00512,0.0005,0
hand sample17 pyrite,0.0007,0.0001,0.6312,0.0005,0.0001,0.00017,0.0001,0.0291,0.00002,0.0002,0
hand sample27 chalcopyrite,0.0102,0.0006,0.3933,0.0065,0.0007,0.00016,0.0003,0.0527,0.00036,0.0004,0
hand sample32 pyrolusite,0.0015,0.0035,0.01,0.0033,0.0004,0.5754,0.0009,0.252,0.00005,0.0002,0
hand sample34 stibnite,0,0,0,0,0,0,0,0,0,0,0
hand sample37 barite,0.0003,0.0004,0.0012,0.0001,0.0001,0.00012,0.0001,0.0053,0.00001,0.0002,0
hand sample41 gypsum,0.0035,0.3228,0.0018,0.0004,0.0008,0.00012,0.0014,0.0117,0.00019,0.0001,0
hand sample42 kyanite,0.3308,0.0008,0.0077,0.0019,0.0002,0.00004,0.0005,0.6296,0.00055,0.0012,0
hand sample44 augite,0.0081,0.2269,0.1125,0.0001,0.1211,0.00298,0.0045,0.5351,0.00027,0.0001,0
hand sample48 plagioclase feldspar,0.2,0.0114,0.0056,0.0261,0.0003,0.00005,0.0906,0.6632,0.00003,0.0001,0
hand sample50 olivine,0.0012,0.0012,0.0808,0.0001,0.4585,0.0011,0.0002,0.3922,0.00003,0.0001,0
hand sample51 epidote,0.1803,0.1956,0.1266,0.0046,0.0051,0.00472,0.0005,0.445,0.00441,0.0013,0
hand sample53 dolomite,0.0004,0.3066,0.0078,0.0001,0.2126,0.00849,0.0001,0.0015,0.00001,0.0001,0.465
hand sample54 kaolinite,0.3726,0.0006,0.0016,0.0004,0.0004,0.00002,0.0002,0.4691,0.00314,0.0003,0
hand sample57 granite,0.1395,0.0162,0.0222,0.0508,0.0049,0.00027,0.0335,0.7055,0.00337,0.0008,0
hand sample62 andesite,0.1643,0.078,0.0889,0.0098,0.0596,0.00135,0.0384,0.5357,0.01199,0.0034,0
hand sample63 syenite,0.1412,0.0282,0.0333,0.0448,0.016,0.00046,0.0344,0.6491,0.00375,0.0021,0
hand sample64 gabbro,0.1458,0.087,0.0869,0.0047,0.0908,0.00144,0.0268,0.5324,0.00819,0.0015,0
hand sample65 basalt,0.1284,0.1025,0.0986,0.0204,0.0767,0.00163,0.0221,0.507,0.00832,0.0025,0
hand sample66 rhyolite,0.128,0.0016,0.0167,0.0435,0.0004,0.00034,0.0408,0.7664,0.0003,0.0001,0
hand sample67 obsidian,0.1296,0.0088,0.0146,0.0415,0.0014,0.00044,0.0367,0.7601,0.00108,0.0001,0
hand sample72 limestone,0.0006,0.5645,0.0006,0.0001,0.0039,0.00004,0.0002,0.0035,0.00002,0.0003,0
hand sample74 sandstone,0.0269,0.0015,0.0197,0.0045,0.0012,0.00013,0.0005,0.9428,0.00126,0.0009,0
hand sample82 travertine,0.0009,0.5748,0.0006,0.0002,0.0005,0.00002,0.0003,0.0028,0.00001,0.0001,0
